time/iterations,time/fps,train/learning_rate,train/std,time/total_timesteps,train/entropy_loss,train/reward,train/n_updates,train/value_loss,time/time_elapsed,train/explained_variance,train/policy_loss
3100,442,0.0007,1.7512043714523315,15500,-1.978938102722168,0.020163001,3099,0.004265121184289455,35,0.0,0.0265324916690588
3200,443,0.0007,1.7773367166519165,16000,-1.9942861795425415,0.022560703,3199,0.002907545305788517,36,0.0,0.016552556306123734
3300,443,0.0007,1.7757331132888794,16500,-1.9932781457901,0.040020842,3299,0.00442561786621809,37,1.1920928955078125e-07,0.10213376581668854
3400,445,0.0007,1.7808259725570679,17000,-1.9957609176635742,0.2477173,3399,0.0024951216764748096,38,0.0,0.030752262100577354
3500,443,0.0007,1.7867497205734253,17500,-1.9993212223052979,0.15789184,3499,0.010024333372712135,39,0.0,0.1888510137796402
3600,440,0.0007,1.78164803981781,18000,-1.9967187643051147,-0.041308574,3599,0.02885689213871956,40,0.0,0.27729788422584534
3700,437,0.0007,1.779274821281433,18500,-1.9954532384872437,0.30052146,3699,0.0392717607319355,42,0.0,0.3060590326786041
3800,435,0.0007,1.7984639406204224,19000,-2.0056607723236084,0.22604151,3799,0.04842579364776611,43,0.0,0.42303267121315
3900,436,0.0007,1.792565941810608,19500,-2.002938985824585,0.15848005,3899,0.14548158645629883,44,0.0,0.6472342610359192
4000,438,0.0007,1.789612054824829,20000,-1.9997529983520508,-0.009689561,3999,0.5315220952033997,45,0.0,1.9865010976791382
4100,439,0.0007,1.7827930450439453,20500,-1.9970744848251343,-0.46880937,4099,0.4772256910800934,46,0.0,1.1550828218460083
4200,439,0.0007,1.769851803779602,21000,-1.989300012588501,-0.10670925,4199,0.8715986013412476,47,1.1920928955078125e-07,2.0087428092956543
4300,441,0.0007,1.787536859512329,21500,-1.9993267059326172,0.30575275,4299,1.1903531551361084,48,0.0,2.297999858856201
4400,441,0.0007,1.7889620065689087,22000,-2.000549077987671,0.1388838,4399,0.9002536535263062,49,0.0,1.7300539016723633
4500,440,0.0007,1.7915350198745728,22500,-2.001469135284424,0.22442146,4499,0.5020371079444885,51,0.0,1.393526315689087
