,date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,tic,ema12,ema26,macd,rsi_30,boll_ub,boll_lb
72,2024-06-06,601138,24.3,25.49,25.49,24.3,2979325,7674821765.0,5.15,10.25,2.37,1.5,sh601138,23.826579224477797,23.624198918724286,0.20238030575351118,67.29469097243444,25.66466656927367,21.83297654774882
73,2024-06-07,601138,25.27,23.95,25.56,23.3,2956978,7341980763.0,8.87,-6.04,-1.54,1.49,sh601138,23.845567036096597,23.64833233215212,0.19723470394447773,51.03649783647992,25.657792316801643,21.878170503361563
74,2024-06-11,601138,23.92,23.63,24.47,23.46,1610391,3945047341.0,4.22,-1.34,-0.32,0.81,sh601138,23.81240287669712,23.646974381622332,0.16542849507478863,48.24205981164008,25.63229969293042,21.87738095388391
75,2024-06-12,601138,23.97,23.79,24.9,23.73,1934349,4803851921.0,4.95,0.68,0.16,0.98,sh601138,23.808956280282178,23.657568871872527,0.1513874084096507,49.826960095755354,25.599132557962346,21.917245170107766
76,2024-06-13,601138,24.22,25.32,26.01,24.19,2381979,6133068310.0,7.65,6.43,1.53,1.2,sh601138,24.04142454485415,23.78071191840049,0.26071262645366033,62.497705262219704,25.818785011226243,21.995080552265765
77,2024-06-14,601138,25.47,26.65,27.14,25.26,2284523,6138937770.0,7.42,5.25,1.33,1.15,sh601138,24.442743845645815,23.99325177629675,0.44949206934906627,70.07722551654062,26.354449039169218,21.98190551827593
78,2024-06-17,601138,26.49,26.93,27.41,26.1,2043932,5592828643.0,4.92,1.05,0.28,1.03,sh601138,24.82539863862338,24.21078868175625,0.614609956867131,71.47753868229614,26.90101388755331,21.961402140611348
79,2024-06-18,601138,26.95,28.04,28.33,26.95,2054130,5829921762.0,5.12,4.12,1.11,1.04,sh601138,25.319952694219783,24.49443396458912,0.8255187296306623,76.50655334930694,27.701956693381845,21.847848284481415
80,2024-06-19,601138,28.61,27.89,28.69,27.71,1422463,4069391664.0,3.5,-0.53,-0.15,0.72,sh601138,25.71534458741674,24.745957374619554,0.9693872127971872,74.45948603666471,28.368521045190736,21.774635839542693
81,2024-06-20,601138,27.89,28.03,28.51,27.8,1043474,2991085814.0,2.55,0.5,0.14,0.53,sh601138,26.071445420121854,24.9892197913144,1.0822256288074534,75.1748227703537,28.991061925102755,21.715603827751302
82,2024-06-21,601138,26.92,27.89,28.16,26.86,1231321,3463436541.0,4.64,-0.5,-0.14,0.62,sh601138,26.351223047795415,25.204092399365184,1.147130648430231,72.82146364975532,29.493660098922838,21.69618034413559
83,2024-06-24,601138,27.22,26.97,27.89,26.74,1134130,3157646689.0,4.12,-3.3,-0.92,0.57,sh601138,26.446419501980735,25.334900369782577,1.1115191321981577,58.85187040975008,29.67714169119859,21.774618709663795
84,2024-06-25,601138,26.18,25.86,26.62,25.63,1317100,3505269013.0,3.67,-4.12,-1.11,0.66,sh601138,26.35620111706062,25.373796638687573,0.9824044783730486,46.44761198050666,29.686841106870293,21.790465922481385
85,2024-06-26,601138,26.54,26.59,26.8,25.87,1197861,3224735831.0,3.6,2.82,0.73,0.6,sh601138,26.39217017597437,25.463885776562567,0.9282843994118046,53.83177830731833,29.742264330793972,21.89720393385754
86,2024-06-27,601138,26.09,26.23,26.67,25.74,1056595,2831106545.0,3.5,-1.35,-0.36,0.53,sh601138,26.36722091813216,25.520634978298673,0.846585939833485,49.91539920135295,29.72037084042953,21.99724330377898
87,2024-06-28,601138,26.12,26.82,27.2,26.11,1150061,3151830923.0,4.16,2.25,0.59,0.58,sh601138,26.43687923841952,25.61688423916544,0.8199949992540816,55.972532373819114,29.730893772328105,22.169804739098648
88,2024-07-01,601138,26.83,27.42,27.61,26.42,1005197,2769311843.0,4.44,2.24,0.6,0.51,sh601138,26.58812858635498,25.75044836959763,0.8376802167573487,61.44398001738796,29.620584508473232,22.56004747805574
89,2024-07-02,601138,27.17,26.78,27.29,26.68,901733,2475200110.0,2.22,-2.33,-0.64,0.45,sh601138,26.61764726537729,25.82671145333114,0.7909358120461505,53.29274748696027,29.491887819748488,22.82011254901582
90,2024-07-03,601138,26.57,26.8,26.96,26.23,740225,2014567864.0,2.73,0.07,0.02,0.37,sh601138,26.64570153224232,25.898806901232536,0.7468946310097841,53.515105977297004,29.29017549003003,23.144491510280538
91,2024-07-04,601138,27.17,26.69,27.27,26.58,790687,2171606461.0,2.57,-0.41,-0.11,0.4,sh601138,26.65251668112812,25.957413797437532,0.6951028836905877,51.94572002034631,28.972806883237332,23.55189183132937
92,2024-07-05,601138,26.42,26.5,26.64,25.78,881540,2359759723.0,3.22,-0.71,-0.19,0.44,sh601138,26.629052576339177,25.997605367997714,0.6314472083414628,49.07729930254504,28.962388408920532,23.607577094735063
93,2024-07-08,601138,26.29,26.38,26.85,26.23,639423,1734099061.0,2.34,-0.45,-0.12,0.32,sh601138,26.59073679536392,26.02593089629418,0.5648058990697393,47.17877864992793,28.70294069855096,23.885123328566003
94,2024-07-09,601138,26.52,28.42,28.6,26.17,1595198,4499603103.0,9.21,7.73,2.04,0.8,sh601138,26.87216190376947,26.203269348420537,0.6688925553489327,69.96759027758254,28.61341452095901,24.379595789289674
95,2024-07-10,601138,28.42,28.37,28.6,27.84,1025420,2958129613.0,2.67,-0.18,-0.05,0.52,sh601138,27.102598533958783,26.363767915204203,0.7388306187545801,69.1241951821911,28.369642029080225,24.980224442097153
96,2024-07-11,601138,28.87,28.18,28.89,27.29,1284074,3681298002.0,5.64,-0.67,-0.19,0.65,sh601138,27.268352605657434,26.498303625189077,0.7700489804683563,65.65420531482117,28.383508406611007,25.25303744826376
97,2024-07-12,601138,27.07,26.68,27.1,26.62,1292642,3537581677.0,1.7,-5.32,-1.5,0.65,sh601138,27.177836820171674,26.511762615915814,0.6660742042558603,45.052519263368694,28.368289421639282,25.241918732771218
98,2024-07-15,601138,26.57,26.38,26.74,26.09,847118,2283405842.0,2.44,-1.12,-0.3,0.43,sh601138,27.055092693991416,26.502002422144272,0.5530902718471431,42.01040850000159,28.364754810868458,25.164481138360085
99,2024-07-16,601138,26.38,26.88,27.02,25.78,1268270,3433207744.0,4.7,1.9,0.5,0.64,sh601138,27.028155356454274,26.530002242726177,0.49815311372809745,48.67510894545205,28.3225099271437,25.22870355072974
100,2024-07-17,601138,26.48,25.37,26.52,25.26,1360612,3579744021.0,4.69,-5.62,-1.51,0.69,sh601138,26.773054532384386,26.444076150672387,0.3289783817119982,34.75591329027044,28.31864886843826,24.96482999249485
101,2024-07-18,601138,24.24,24.83,24.88,23.75,1603036,3987867399.0,4.45,-2.13,-0.54,0.81,sh601138,26.47412306586371,26.324514954326283,0.1496081115374288,31.087655132257552,28.31879704313213,24.61958859295021
102,2024-07-19,601138,24.39,24.08,24.72,23.97,1157326,2872113111.0,3.02,-3.02,-0.75,0.58,sh601138,26.105796440346214,26.15825458733915,-0.052458146992936605,26.590187937483904,28.381481184176117,24.101820105612667
103,2024-07-22,601138,23.91,24.33,24.45,23.64,1043013,2583806742.0,3.36,1.04,0.25,0.53,sh601138,25.83259698798526,26.022828321610326,-0.19023133362506783,30.459590665435016,28.420582893914663,23.69859446351328
104,2024-07-23,601138,24.77,23.96,24.87,23.95,989088,2472328010.0,3.78,-1.52,-0.37,0.5,sh601138,25.544505143679835,25.870026223713264,-0.32552108003342894,27.944276092722305,28.46575403564807,23.253501668691495
105,2024-07-24,601138,23.82,23.72,24.52,23.58,883936,2172629157.0,3.92,-1.0,-0.24,0.45,sh601138,25.263812044652166,25.710765021956725,-0.44695297730455863,26.31770276596278,28.517836153537818,22.79387138848369
106,2024-07-25,601138,22.92,22.62,23.16,22.42,1346031,3140485430.0,3.12,-4.64,-1.1,0.68,sh601138,24.857071730090293,25.481819464774745,-0.6247477346844512,20.123192089638735,28.65520217165031,22.078247509226294
107,2024-07-26,601138,22.62,22.92,23.08,22.37,859955,2005890391.0,3.14,1.33,0.3,0.43,sh601138,24.559060694691787,25.292055059976615,-0.7329943652848279,25.63157460038147,28.68460531398249,21.582801540143958
108,2024-07-29,601138,22.82,23.22,23.51,22.59,976987,2316856734.0,4.01,1.31,0.3,0.49,sh601138,24.353051357046898,25.138569499978345,-0.7855181429314477,31.11294225093566,28.6103930309825,21.292498884655714
109,2024-07-30,601138,22.91,22.27,23.02,22.05,1282949,2937657047.0,4.18,-4.09,-0.95,0.65,sh601138,24.03258191750122,24.92608287035032,-0.8935009528491022,24.511719574618837,28.610217232893614,20.781923071731438
110,2024-07-31,601138,22.18,23.26,23.3,22.16,1503000,3523270167.0,5.12,4.45,0.99,0.76,sh601138,23.91372316096257,24.802669324398448,-0.8889461634358788,39.85567846285764,28.532316330482185,20.586286802273815
111,2024-08-01,601138,24.02,23.39,24.2,23.38,1452511,3524832734.0,3.53,0.56,0.13,0.73,sh601138,23.833150366968326,24.698027152220785,-0.8648767852524593,41.65262549875165,28.443708854075876,20.4521701707986
112,2024-08-02,601138,22.35,21.75,22.52,21.67,1819823,4118348271.0,3.63,-7.01,-1.64,0.92,sh601138,23.512665695127044,24.4796547705748,-0.9669890754477564,29.028249999334292,28.392739270983736,19.989246513426497
113,2024-08-05,601138,20.52,19.84,20.94,19.7,2341599,4886015926.0,5.7,-8.78,-1.91,1.18,sh601138,22.947640203569037,24.135976639421113,-1.1883364358520758,20.627039749253697,28.466733364837935,19.086491868676084
114,2024-08-06,601138,20.45,20.23,20.65,19.92,1429616,2970093528.0,3.68,1.97,0.39,0.72,sh601138,22.529541710712262,23.84664503650103,-1.3171033257887679,25.693743673471886,28.126662508827494,18.751017464351854
115,2024-08-07,601138,20.02,19.82,20.23,19.73,1109344,2274063503.0,2.47,-2.03,-0.41,0.56,sh601138,22.11268913983345,23.548375033797253,-1.4356858939638037,23.847208225467426,27.706626092747783,18.481751025843053
116,2024-08-08,601138,19.42,19.9,20.01,19.17,1312416,2654203645.0,4.24,0.4,0.08,0.66,sh601138,21.772275426012918,23.278125031293754,-1.5058496052808366,25.059757491884085,27.185489196845406,18.394471053308205
117,2024-08-09,601138,20.22,20.21,20.74,20.03,1726815,3608863237.0,3.57,1.56,0.31,0.87,sh601138,21.53192536047247,23.05085651045718,-1.5189311499847094,30.040347801430855,26.834947472251095,18.2535879921736
118,2024-08-12,601138,19.93,20.06,20.34,19.89,926802,1913431142.0,2.23,-0.74,-0.15,0.47,sh601138,21.305475305015165,22.82931158375665,-1.5238362787414843,28.96555427849414,26.463190153458818,18.15215145721114
119,2024-08-13,601138,20.27,20.2,20.47,19.87,1014066,2100912052.0,2.99,0.7,0.14,0.51,sh601138,21.135402181166675,22.63454776273764,-1.4991455815709642,31.60100259224022,25.88153622245942,18.332344282432448
120,2024-08-14,601138,20.62,20.8,21.32,20.45,2109498,4530984888.0,4.31,2.97,0.6,1.06,sh601138,21.083801845602572,22.498655335868186,-1.4148534902656138,42.20453134609904,25.520167338288747,18.44477216613723
121,2024-08-15,601138,20.74,20.66,20.9,20.3,1264310,2605049267.0,2.88,-0.67,-0.14,0.64,sh601138,21.018601561663715,22.362458644322395,-1.3438570826586798,40.513599120190094,25.195379811476787,18.517660692527674
122,2024-08-16,601138,21.01,21.06,21.46,20.98,1518563,3219246358.0,2.32,1.94,0.4,0.76,sh601138,21.02497055217699,22.26598022622444,-1.2410096740474508,47.45402945623244,24.966834598863432,18.59448776190251
123,2024-08-19,601138,21.0,20.78,21.14,20.73,905047,1891974203.0,1.95,-1.33,-0.28,0.46,sh601138,20.98728277491899,22.155907616874483,-1.1686248419554914,43.36729012050224,24.64466497706098,18.726055254108207
124,2024-08-20,601138,21.11,20.65,21.18,20.51,904180,1882949855.0,3.22,-0.63,-0.13,0.46,sh601138,20.935393117239148,22.04435890451341,-1.1089657872742613,41.454746563947424,24.337559822580726,18.835948958000916
